"Measurement outcome","Frequency"
"000000","296"
"000001","292"
"000010","352"
"000011","296"
"000100","314"
"000101","273"
"000110","322"
"000111","252"
"001000","291"
"001001","261"
"001010","308"
"001011","288"
"001100","303"
"001101","286"
"001110","280"
"001111","277"
"010000","382"
"010001","338"
"010010","388"
"010011","328"
"010100","352"
"010101","305"
"010110","361"
"010111","288"
"011000","345"
"011001","351"
"011010","379"
"011011","325"
"011100","323"
"011101","304"
"011110","354"
"011111","309"
"100000","293"
"100001","244"
"100010","322"
"100011","283"
"100100","306"
"100101","269"
"100110","302"
"100111","257"
"101000","283"
"101001","287"
"101010","316"
"101011","251"
"101100","302"
"101101","262"
"101110","303"
"101111","249"
"110000","381"
"110001","354"
"110010","395"
"110011","353"
"110100","384"
"110101","297"
"110110","388"
"110111","296"
"111000","354"
"111001","313"
"111010","322"
"111011","303"
"111100","311"
"111101","321"
"111110","297"
"111111","279"
